S_ID,BRANCH,GPA_2,RANK,S_ID ,S_NAME,P_ID,P_NAME,R_NAME,FEE_NAME,S_PARENT,gpamat,gpasci,GPA,GPA_MATCH,GPA_SCI
70129,0,2.87,1,81001,คลองท่อมราษฎร์รังสรรค์,81,กระบี่,S,0,2,2.58,2.5,2.9,2.6,2.5
72232,0,2.54,0,1080210774,เบญจมราชูทิศ นครศรีธรรมราช,80,นครศรีธรรมราช,S,0,2,2.2,2.5,2.5,2.2,2.5
70173,0,2.25,1,80064,เมืองนครศรีธรรมราช,80,นครศรีธรรมราช,S,0,2,1.66,1.62,2.3,1.7,1.6
72277,3,2.97,0,90048,หาดใหญ่วิทยาลัย,90,สงขลา,S,0,2,1.16,1.97,3,1.2,2
70243,0,2.79,0,91011,พิมานพิทยาสรรค์,91,สตูล,S,0,1,2.5,2.57,2.8,2.5,2.6
70244,0,2.83,1,9,สุราษฏร์พิทยา2,84,สุราษฎร์ธานี,S,0,2,3.04,2.81,2.8,3,2.8
70238,0,3.21,0,99840047,เทศบาลปลูกปัญญา ในประอุปถัมภ์,83,ภูเก็ต,S,0,3,2.5,3,3.2,2.5,3
70266,0,2.76,1,80092,หัวไทรบำรุงราษฎร์,80,นครศรีธรรมราช,S,0,3,1.25,2,2.8,1.3,2
72275,1,3.22,0,90048,หาดใหญ่วิทยาลัยสมบูรณ์กุลกันยา,90,สงขลา,S,0,2,1.5,1.62,3.2,1.5,1.6
70372,2,2.66,0,92020,วิเชียรมาตุ,92,ตรัง,S,0,3,2.6,3.1,2.7,2.6,3.1
70429,0,3.36,1,90028,ระโนดวิทยา,90,สงขลา,S,0,1,2,2.68,3.4,2,2.7
72452,0,2.33,0,99840072,เทศบาล ๒ (วัดกะพังสุรินทร์),92,ตรัง,S,0,2,2.29,2.6,2.3,2.3,2.6
70469,2,2.84,1,80701,วิทยาลัยเทคนิคนครศรีธรรมราช,80,นครศรีธรรมราช,S,0,2,1.75,3,2.8,1.8,3
72482,2,2.65,0,17101,สมุทรสาครวิทยาลัย,74,สมุทรสาคร,B,0,2,2.2,2.45,2.7,2.2,2.5
70489,0,2.65,1,90045,หาดใหญ่รัฐประชาสรรค์,90,สงขลา,S,0,1,2.07,2.83,2.7,2.1,2.8
70491,0,2.73,1,86013,สวนศรีวิทยา,86,ชุมพร,S,0,1,2.44,1.87,2.7,2.4,1.9
70517,2,3.04,0,85007,สตรีระนอง,85,ระนอง,S,0,1,1.5,2.5,3,1.5,2.5
70518,2,2.35,1,80014,จรัสพิชากร,80,นครศรีธรรมราช,S,0,2,2.07,2.18,2.4,2.1,2.2
